Stem,Year,DBH,Comment
5366,1999,29.3,NA
5366,2002,30,NA
5366,2005,31,NA
5366,2014,31.8,NA
5367,1993,31.8,NA
5367,1996,32.5,NA
5367,1999,33,NA
5367,2002,33.4,NA
5367,2005,33.8,NA
5367,2014,36.9,NA
5605,1996,3.2,NA
5605,1999,4,NA
5605,2002,4.5,NA
5605,2005,5,NA
5605,2014,6.1,NA
5769,1993,3.7,NA
5769,1996,NA,dead
WF059,2014,3.4,NA
WF063,2014,3.1,NA
6112,1999,3.1,NA
6112,2002,3.2,NA
6112,2005,3.8,NA
6112,2014,5.4,bark-stripped
6113,1999,3.6,NA
6113,2002,4.1,NA
6113,2005,4.6,NA
6113,2014,6.6,NA
6114,1999,3.3,NA
6114,2002,3.9,NA
6114,2005,4.3,NA
6114,2014,5.5,NA
6204,2002,3.1,NA
6204,2005,3.4,NA
6204,2014,4.9,NA
6251,2005,3.1,NA
6251,2014,4,NA
6369,1993,9.2,NA
6369,1996,9.1,NA
6369,1999,9.2,NA
6369,2002,9.3,NA
6369,2005,9.2,NA
6369,2014,NA,dead
6370,1993,11.7,NA
6370,1996,12.2,NA
6370,1999,12.9,NA
6370,2002,13.5,NA
6370,2005,14.2,NA
6370,2014,16.8,NA
6371,1993,14.7,NA
6371,1996,15.1,NA
6371,1999,15.2,NA
6371,2002,15.4,NA
6371,2005,NA,dead
6372,1993,11.2,NA
6372,1996,11.2,NA
6372,1999,11.3,NA
6372,2002,11.3,NA
6372,2005,11.9,NA
6372,2014,NA,dead
6373,1993,4.9,NA
6373,1996,5.5,NA
6373,1999,6.5,NA
6373,2002,7.3,NA
6373,2005,7.8,NA
6373,2014,7.1,weaken
6374,1993,3,NA
6374,1996,3,NA
6374,1999,NA,dead
WF072,2014,4.7,NA
7115,1999,3.1,NA
7115,2002,3.5,NA
7115,2005,3.8,NA
7115,2014,4.2,NA
7205,2002,3.5,NA
7205,2005,3.6,NA
7205,2014,3.7,NA
7252,2005,3.3,NA
7252,2014,NA,dead
7253,2005,3.6,NA
7253,2014,NA,dead
7272,2005,3.6,NA
7272,2014,4.9,NA
7273,2005,3.8,NA
7273,2014,5.2,NA
7375,1993,20.3,NA
7375,1996,20.7,NA
7375,1999,20.9,NA
7375,2002,21,NA
7375,2005,20.9,NA
7375,2014,NA,dead
7377,1993,7.3,NA
7377,1996,7.5,NA
7377,1999,7.5,NA
7377,2002,7.6,NA
7377,2005,7.8,NA
7377,2014,10.1,NA
7378,1993,7,NA
7378,1996,7,NA
7378,1999,7.5,NA
7378,2002,7.6,NA
7378,2005,8,NA
7378,2014,10.1,NA
7379,1993,7.6,NA
7379,1996,NA,dead
7380,1993,3.9,NA
7380,1996,NA,dead
7381,1993,3.3,NA
7381,1996,NA,dead
7382,1993,19,NA
7382,1996,19.3,NA
7382,1999,19.4,NA
7382,2002,19.4,NA
7382,2005,NA,dead
8116,1999,3.5,NA
8116,2002,NA,dead
8206,2002,3.5,NA
8206,2005,3.8,NA
8206,2014,5.6,NA
8383,1993,13.7,NA
8383,1996,13.8,NA
8383,1999,14.1,NA
8383,2002,NA,dead
8384,1993,11.9,NA
8384,1996,12.2,NA
8384,1999,12.5,NA
8384,2002,12.7,NA
8384,2005,12.7,NA
8384,2014,13.3,bark-stripped
8385,1993,8.3,NA
8385,1996,8.3,NA
8385,1999,8.4,NA
8385,2002,8.4,NA
